  1 1 AS
  2 2 2S
  3 3 3S
  4 4 4S
  5 5 5S
  6 6 6S
  7 7 7S
  8 8 8S
  9 9 9S
 10 10 TS
 10 11 JS
 10 12 QS
 10 13 KS
  1 14 AD
  2 15 2D
  3 16 3D
  4 17 4D
  5 18 5D
  6 19 6D
  7 20 7D
  8 21 8D
  9 22 9D
 10 23 TD
 10 24 JD
 10 25 QD
 10 26 KD
  1 27 AC
  2 28 2C
  3 29 3C
  4 30 4C
  5 31 5C
  6 32 6C
  7 33 7C
  8 34 8C
  9 35 9C
 10 36 TC
 10 37 JC
 10 38 QC
 10 39 KC
  1 40 AH
  2 41 2H
  3 42 3H
  4 43 4H
  5 44 5H
  6 45 6H
  7 46 7H
  8 47 8H
  9 48 9H
 10 49 TH
 10 50 JH
 10 51 QH
 10 52 KH
