  1 1 A S
  2 2 2 S
  3 3 3 S
  4 4 4 S
  5 5 5 S
  6 6 6 S
  7 7 7 S
  8 8 8 S
  9 9 9 S
 10 10 T S
 10 11 J S
 10 12 Q S
 10 13 K S
  1 14 A D
  2 15 2 D
  3 16 3 D
  4 17 4 D
  5 18 5 D
  6 19 6 D
  7 20 7 D
  8 21 8 D
  9 22 9 D
 10 23 T D
 10 24 J D
 10 25 Q D
 10 26 K D
  1 27 A C
  2 28 2 C
  3 29 3 C
  4 30 4 C
  5 31 5 C
  6 32 6 C
  7 33 7 C
  8 34 8 C
  9 35 9 C
 10 36 T C
 10 37 J C
 10 38 Q C
 10 39 K C
  1 40 A H
  2 41 2 H
  3 42 3 H
  4 43 4 H
  5 44 5 H
  6 45 6 H
  7 46 7 H
  8 47 8 H
  9 48 9 H
 10 49 T H
 10 50 J H
 10 51 Q H
 10 52 K H
